ID,ID_ZAKAZNIKA,DATUM,POZNAMKA
13,7,2014-08-15,pokus1
14,7,2014-08-15,poslednì nic nechtìl
15,190,2014-08-27,"všechno teï má (protein, gainer)"
16,4,2014-08-27,teï nic nechce
17,5,2014-08-27,teï se odstìhoval
18,35,2014-08-27,"Po dovolené, mìl teï mìsíc až2 výpadek a nebral"
19,54,2014-08-27,Uvažuje nad spalovaèem
20,57,2014-08-27,"bral protein od amixu, tyèinky proteinové, bcaa"
21,62,2014-08-27,bral gold weider a chtìl pak gainer
22,68,2014-08-27,mìl peak kilo
23,80,2014-08-27,mìl bcaa 500g a 80+ weider
24,70,2014-08-27,"mìl mega mass, odjíždí do anglie"
25,19,2014-08-27,"chtel V nakonec vzal jinde, mel sjem to draz, muj clovek byl na dovolene"
26,199,2014-08-27,chce tyèinky
27,77,2014-08-27,bere znaèku FA z tìšína
28,7,2014-08-27,má teï svoje
29,12,2014-08-27,ted nechce nic
30,42,2014-08-27,"poslednì se zajímal o gainery, nekoupil nakonec"
31,52,2014-08-27,necvièí
32,143,2014-08-27,nemá èas pro práci
33,46,2014-08-27,"ma znameho policajta co to má mega levnì, udržet si ho"
34,201,2014-08-27,test
35,201,2014-08-27,testik
36,201,2014-08-27,testovaci kontakt!!!!
37,5,2014-11-26,"dlouhodobì nebere, odstìhoval se"
38,19,2014-11-26,dlouhodobì nebere
39,18,2014-11-26,bral ted sus jinde
40,54,2014-11-26,mìl ode me synedrex
41,139,2014-11-26,mìl obrnu tak necvièil
42,199,2014-11-26,nereaguje
43,219,2014-11-27,dasds
44,221,2014-11-28,NEcvièí ted
45,170,2014-11-28,má ještì zbytek jumba ode mì
46,226,2014-12-03,Ma kamose co cvici
47,228,2014-12-04,teï škola tak nic v lednu nìco bude chtít
48,232,2014-12-04,Bojuje v kleci
49,109,2014-12-04,má objednávku pro kluky?
50,146,2014-12-04,na leden nìco i sbráchou - weisse 
51,156,2014-12-04,Bojkotuje amix
52,129,2014-12-06,pracovnì v Kolínì
53,213,2014-12-06,necvièí byl nemocný chvíli
54,61,2014-12-08,ted necvici dela bakalarku
55,209,2015-01-01,chtìl spalovaè
56,27,2015-01-01,"teï nic nechce, posldnì kupoval jacka usa za 1000 jinde"
57,59,2015-01-01,"chce protein nebo gainer asi oboje od amixu po domluve
"
58,8,2015-01-02,"bude chtít brzy gainer pro kamose
"
59,244,2015-01-02,"benchuje na soutìži bere jen protein,kreatin monohydrat"
60,214,2015-01-02,bude chtít asi rùst. hormon
61,72,2015-01-02,rodinné problémy
62,226,2015-01-02,chce amina a gainer
63,229,2015-01-05,chtìl stan na nacenìní
64,22,2015-01-05,ptal se na peak
65,194,2015-01-05,ptal se na protein
66,73,2015-01-05,koncem ledna bude brát protein
67,249,2015-01-05,"trener a potencial, nabidnout moje znaèky"
68,238,2015-01-05,bude chtít spalovaè
69,209,2015-01-05,null
70,111,2015-01-07,domluvili jsme za 14 dni hydro amina  a carbojet mass pro 3 kg
71,250,2015-01-08,nemel peníze
72,4,2015-01-08,bude chtit protein od mp
73,125,2015-01-08,"bude chtit ameriku mel ji levne, jacka za 800 pry"
74,103,2015-01-08,ma ted svoje bere polsko jinde
75,232,2015-01-08,naklopen na spolupraci na amix nabidnutych 20%
76,231,2015-01-08,nereaguje
77,230,2015-01-08,nereaguje
78,227,2015-01-08,nereaguje
79,225,2015-01-08,nereaguje
80,224,2015-01-08,nereaguje
81,223,2015-01-08,nereaguje
82,222,2015-01-08,nereaguje
83,221,2015-01-08,nereaguje
84,218,2015-01-08,"kluci bachari, nechteji neco?"
85,215,2015-01-08,moc nereaguje
86,191,2015-01-08,poslat mu 200
87,197,2015-01-08,nereaguje
88,193,2015-01-08,nereaguje
89,195,2015-01-08,nereaguje
90,190,2015-01-08,zaujal ho amix
91,123,2015-01-08,dochazi sustanon
92,100,2015-01-08,nakup k 19 zapsan 8.1
93,243,2015-01-08,ted nema penize
94,193,2015-01-08,"uz reaguje, ma ted vse - gainer od nutrendu"
95,109,2015-01-08,jde ted na dietu
96,222,2015-01-08,uz reaguje nema ted penize
97,94,2015-01-08,ma ted vse bude chtit az v unoru
98,185,2015-01-08,nabidnut amix
99,227,2015-01-08,"uz reaguje, necvici jen se popta znamych"
100,223,2015-01-08,15 ma vyplatu a da vedet
101,165,2015-01-08,zaujal ho amix a sleva da vedet v unoru
102,12,2015-01-08,nereaguje
103,7,2015-01-08,nereaguje
104,34,2015-01-08,nereaguje III
105,83,2015-01-08,nereaguje
106,64,2015-01-08,nereaguje
107,7,2015-01-08,popta se v posce
108,83,2015-01-08,nechce mam svuj zdroj i na vitose
109,102,2015-01-08,odpoved
110,179,2015-01-08,"ma ted banan fusion whey od amixu a nechutna mu, bere z fsport"
111,257,2015-01-08,penize dal na vybaveni bytu
112,233,2015-01-09,bude chtít gold od weidera
113,170,2015-01-09,ted nic chtit nebude
